Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
244073-1,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,500,USD,2026-02-17 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-19 00:00:00,Dorse House Account,26008174,3442,1.510000008e+11
245134,Conversion,Invoice,Invoice,Yes,Complete,T & M OF WA INC,4147.81,USD,2026-02-10 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4287,2026-03-12 00:00:00,Dorse House Account,union gap bank,3470,1.510000012e+11
244754,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,1200,USD,2026-02-03 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-05 00:00:00,Dorse House Account,689607,3377,1.51e+11
245134-2,Conversion,Invoice,Invoice,Yes,Complete,T & M OF WA INC,1764,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4287,2026-03-22 00:00:00,Dorse House Account,union gap bank,3470,1.510000012e+11
241527-2,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,3623.42,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-29 00:00:00,Dorse House Account,PO034157,4269,1.510000016e+11
243628,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,645,USD,2026-01-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-02-17 00:00:00,Dorse House Account,2201,3557,1.510000005e+11
243930,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,2295,USD,2026-02-06 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-08 00:00:00,Dorse House Account,RS00113,3887,1.510000015e+11
244023,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,2440.26,USD,2026-01-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-19 00:00:00,Dorse House Account,686330,3377,1.51e+11
245249,Conversion,Invoice,Invoice,Yes,Complete,CFM HEATING & COOLING INC,528.94,USD,2026-02-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3929,2026-03-21 00:00:00,Dorse House Account,Chick Fil A,4121,1.510000008e+11
245252,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,7600,USD,2026-02-24 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-26 00:00:00,Dorse House Account,PO038663,4269,1.510000007e+11
244153-3,Conversion,Invoice,Invoice,Yes,Complete,AIR DESIGN,810.11,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2425,2026-03-11 00:00:00,Dorse House Account,Missoula FSD/Fans,3583,1.510000003e+11
242831-1,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,650,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-06 00:00:00,Dorse House Account,680687,3377,1.510000009e+11
244664-1,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,18.61,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-28 00:00:00,Dorse House Account,PO037971,4269,1.510000001e+11
244818,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,900,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-06 00:00:00,Dorse House Account,32450,4289,1.510000004e+11
244631,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,394,USD,2026-01-26 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-02-25 00:00:00,Dorse House Account,32362,4289,1.510000004e+11
243561,Conversion,Invoice,Invoice,Yes,Complete,AMS,250,USD,2026-01-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2232,2026-02-12 00:00:00,Dorse House Account,WORP - Kolter,3112,1.510000011e+11
243193,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,125,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-21 00:00:00,Dorse House Account,2509-2720,3557,1.510000003e+11
245612,Conversion,Invoice,Invoice,Yes,Complete,PACIFIC ONE CONSTRUCTION INC,80,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34311,2026-03-22 00:00:00,Dorse House Account,Parkshore,4049,1.510000001e+11
244382-1,Conversion,Invoice,Invoice,Yes,Complete,VITAL MECHANICAL SERVICE,217.36,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2472,2026-02-28 00:00:00,Dorse House Account,305597,4042,1.510000006e+11
